filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image_82.png,549861,"{}",7,0,"{""name"":""rect"",""x"":130,""y"":61,""width"":29,""height"":44}","{}"
image_82.png,549861,"{}",7,1,"{""name"":""rect"",""x"":160,""y"":62,""width"":32,""height"":42}","{}"
image_82.png,549861,"{}",7,2,"{""name"":""rect"",""x"":199,""y"":162,""width"":48,""height"":75}","{}"
image_82.png,549861,"{}",7,3,"{""name"":""rect"",""x"":250,""y"":165,""width"":44,""height"":67}","{}"
image_82.png,549861,"{}",7,4,"{""name"":""rect"",""x"":299,""y"":167,""width"":42,""height"":65}","{}"
image_82.png,549861,"{}",7,5,"{""name"":""rect"",""x"":454,""y"":60,""width"":26,""height"":41}","{}"
image_82.png,549861,"{}",7,6,"{""name"":""rect"",""x"":482,""y"":60,""width"":30,""height"":43}","{}"
image_81.png,550514,"{}",9,0,"{""name"":""rect"",""x"":131,""y"":60,""width"":29,""height"":45}","{}"
image_81.png,550514,"{}",9,1,"{""name"":""rect"",""x"":161,""y"":61,""width"":30,""height"":40}","{}"
image_81.png,550514,"{}",9,2,"{""name"":""rect"",""x"":201,""y"":164,""width"":46,""height"":68}","{}"
image_81.png,550514,"{}",9,3,"{""name"":""rect"",""x"":250,""y"":166,""width"":46,""height"":66}","{}"
image_81.png,550514,"{}",9,4,"{""name"":""rect"",""x"":297,""y"":166,""width"":46,""height"":69}","{}"
image_81.png,550514,"{}",9,5,"{""name"":""rect"",""x"":346,""y"":167,""width"":44,""height"":69}","{}"
image_81.png,550514,"{}",9,6,"{""name"":""rect"",""x"":393,""y"":167,""width"":45,""height"":65}","{}"
image_81.png,550514,"{}",9,7,"{""name"":""rect"",""x"":72,""y"":282,""width"":27,""height"":41}","{}"
image_81.png,550514,"{}",9,8,"{""name"":""rect"",""x"":103,""y"":282,""width"":27,""height"":39}","{}"
image_80.png,548343,"{}",9,0,"{""name"":""rect"",""x"":131,""y"":60,""width"":30,""height"":45}","{}"
image_80.png,548343,"{}",9,1,"{""name"":""rect"",""x"":162,""y"":63,""width"":29,""height"":39}","{}"
image_80.png,548343,"{}",9,2,"{""name"":""rect"",""x"":199,""y"":166,""width"":48,""height"":67}","{}"
image_80.png,548343,"{}",9,3,"{""name"":""rect"",""x"":249,""y"":167,""width"":45,""height"":66}","{}"
image_80.png,548343,"{}",9,4,"{""name"":""rect"",""x"":298,""y"":166,""width"":45,""height"":67}","{}"
image_80.png,548343,"{}",9,5,"{""name"":""rect"",""x"":453,""y"":58,""width"":28,""height"":42}","{}"
image_80.png,548343,"{}",9,6,"{""name"":""rect"",""x"":483,""y"":59,""width"":28,""height"":40}","{}"
image_80.png,548343,"{}",9,7,"{""name"":""rect"",""x"":507,""y"":278,""width"":31,""height"":44}","{}"
image_80.png,548343,"{}",9,8,"{""name"":""rect"",""x"":539,""y"":279,""width"":30,""height"":41}","{}"
image_79.png,549451,"{}",9,0,"{""name"":""rect"",""x"":199,""y"":165,""width"":47,""height"":70}","{}"
image_79.png,549451,"{}",9,1,"{""name"":""rect"",""x"":249,""y"":146,""width"":44,""height"":68}","{}"
image_79.png,549451,"{}",9,2,"{""name"":""rect"",""x"":298,""y"":144,""width"":46,""height"":66}","{}"
image_79.png,549451,"{}",9,3,"{""name"":""rect"",""x"":347,""y"":144,""width"":44,""height"":69}","{}"
image_79.png,549451,"{}",9,4,"{""name"":""rect"",""x"":394,""y"":145,""width"":45,""height"":66}","{}"
image_79.png,549451,"{}",9,5,"{""name"":""rect"",""x"":453,""y"":59,""width"":28,""height"":44}","{}"
image_79.png,549451,"{}",9,6,"{""name"":""rect"",""x"":484,""y"":47,""width"":30,""height"":47}","{}"
image_79.png,549451,"{}",9,7,"{""name"":""rect"",""x"":509,""y"":279,""width"":29,""height"":42}","{}"
image_79.png,549451,"{}",9,8,"{""name"":""rect"",""x"":540,""y"":280,""width"":26,""height"":39}","{}"
image_78.png,546990,"{}",4,0,"{""name"":""rect"",""x"":508,""y"":279,""width"":30,""height"":44}","{}"
image_78.png,546990,"{}",4,1,"{""name"":""rect"",""x"":542,""y"":281,""width"":27,""height"":39}","{}"
image_78.png,546990,"{}",4,2,"{""name"":""rect"",""x"":450,""y"":60,""width"":30,""height"":42}","{}"
image_78.png,546990,"{}",4,3,"{""name"":""rect"",""x"":485,""y"":61,""width"":26,""height"":40}","{}"
image_78.jpeg,31046,"{}",7,0,"{""name"":""rect"",""x"":169,""y"":279,""width"":57,""height"":72}","{}"
image_78.jpeg,31046,"{}",7,1,"{""name"":""rect"",""x"":235,""y"":281,""width"":47,""height"":71}","{}"
image_78.jpeg,31046,"{}",7,2,"{""name"":""rect"",""x"":295,""y"":278,""width"":54,""height"":74}","{}"
image_78.jpeg,31046,"{}",7,3,"{""name"":""rect"",""x"":356,""y"":278,""width"":54,""height"":72}","{}"
image_78.jpeg,31046,"{}",7,4,"{""name"":""rect"",""x"":420,""y"":277,""width"":53,""height"":72}","{}"
image_78.jpeg,31046,"{}",7,5,"{""name"":""rect"",""x"":278,""y"":10,""width"":38,""height"":50}","{}"
image_78.jpeg,31046,"{}",7,6,"{""name"":""rect"",""x"":317,""y"":7,""width"":53,""height"":56}","{}"
image_77.png,542548,"{}",5,0,"{""name"":""rect"",""x"":201,""y"":165,""width"":48,""height"":70}","{}"
image_77.png,542548,"{}",5,1,"{""name"":""rect"",""x"":250,""y"":167,""width"":45,""height"":65}","{}"
image_77.png,542548,"{}",5,2,"{""name"":""rect"",""x"":296,""y"":165,""width"":45,""height"":67}","{}"
image_77.png,542548,"{}",5,3,"{""name"":""rect"",""x"":346,""y"":167,""width"":46,""height"":65}","{}"
image_77.png,542548,"{}",5,4,"{""name"":""rect"",""x"":394,""y"":165,""width"":45,""height"":66}","{}"
image_76.png,546581,"{}",5,0,"{""name"":""rect"",""x"":200,""y"":165,""width"":48,""height"":70}","{}"
image_76.png,546581,"{}",5,1,"{""name"":""rect"",""x"":250,""y"":166,""width"":45,""height"":66}","{}"
image_76.png,546581,"{}",5,2,"{""name"":""rect"",""x"":298,""y"":168,""width"":45,""height"":65}","{}"
image_76.png,546581,"{}",5,3,"{""name"":""rect"",""x"":344,""y"":167,""width"":47,""height"":65}","{}"
image_76.png,546581,"{}",5,4,"{""name"":""rect"",""x"":393,""y"":166,""width"":45,""height"":65}","{}"
image_76.jpeg,39695,"{}",8,0,"{""name"":""rect"",""x"":56,""y"":5,""width"":61,""height"":98}","{}"
